"File","Width","Height","Colors","VisiblePixels","OffPalette","PartialAlpha"
"environment-v4/buildings/bakery-facade.png","96","32","38","2954","0","0"
"environment-v4/buildings/front-cap.png","96","4","3","256","0","0"
"environment-v4/buildings/house-marker.png","32","40","33","1085","0","0"
"environment-v4/buildings/interior-wall.png","96","28","7","2688","0","0"
"environment-v4/buildings/keep-facade.png","96","36","38","3370","0","0"
"environment-v4/buildings/side-cap.png","4","96","3","384","0","0"
"environment-v4/buildings/wall-material.png","32","32","5","1024","0","0"
"environment-v4/nature/farm.png","32","32","3","1024","0","0"
"environment-v4/nature/mountain.png","64","64","4","4096","0","0"
"environment-v4/nature/paving.png","32","32","5","1024","0","0"
"environment-v4/nature/planks.png","32","32","4","1024","0","0"
"environment-v4/nature/road.png","32","32","3","1024","0","0"
"environment-v4/nature/rock.png","32","24","8","517","0","0"
"environment-v4/nature/sand.png","64","64","3","4096","0","0"
"environment-v4/nature/snow.png","64","64","3","4096","0","0"
"environment-v4/nature/tree.png","48","64","12","2008","0","0"
"environment-v4/props/fishing-station.png","48","64","23","1886","0","0"
"environment-v4/props/market-stall.png","64","64","26","2806","0","0"
"environment-v4/props/resource-fish.png","24","24","23","260","0","0"
"environment-v4/props/resource-food.png","24","24","18","298","0","0"
"environment-v4/props/resource-lumber.png","24","24","13","244","0","0"
"environment-v4/props/resource-materials.png","24","24","17","286","0","0"
"environment-v4/props/resource-meat.png","24","24","21","258","0","0"
"environment-v4/props/resource-stone.png","24","24","17","272","0","0"
"environment-v4/props/stockpile-stack.png","48","40","18","1264","0","0"
"environment-v4/props/wheat-crop.png","48","40","12","1201","0","0"
"environment-v5/grass-ground.png","64","64","3","4096","0","0"
"environment-v5/grass-tuft.png","12","12","5","63","0","0"
"environment-v5/mud-facade.png","96","28","22","2332","0","0"
"environment-v5/mud-front-cap.png","96","4","12","253","0","0"
"environment-v5/mud-rear.png","96","28","22","2688","0","0"
"environment-v5/mud-side-cap.png","4","96","11","384","0","0"
"environment-v5/mud-wall.png","32","32","18","1024","0","0"
"environment-v6/house-roof.png","56","50","10","2160","0","0"
"environment-v6/keep-roof.png","56","114","10","4840","0","0"
"environment-v6/tree-branch-1.png","18","14","12","84","0","0"
"environment-v6/tree-branch-2.png","18","14","13","79","0","0"
"environment-v6/tree-branch-3.png","18","14","7","67","0","0"
"environment-v6/tree-crown-1.png","24","22","7","363","0","0"
"environment-v6/tree-crown-2.png","24","22","7","351","0","0"
"environment-v6/tree-crown-3.png","24","22","7","292","0","0"
"environment-v6/tree-trunk-1.png","12","16","10","84","0","0"
"environment-v6/tree-trunk-2.png","12","16","10","87","0","0"
"environment-v6/tree-trunk-3.png","12","16","11","103","0","0"
"environment-v7/beach.png","16","16","2","256","0","0"
"environment-v7/water-deep.png","96","32","2","3072","0","0"
"environment-v7/water-shallow.png","96","32","2","3072","0","0"
